ticket,issue_id,module,summary,role,source,comment,source_file,month,year,phase,top_level_category,sub_category,journeys
PFT-9672,210019,Timetable,Button for other teachers in My Classroom: Invite author to delete (redundant) seating layouts,Unknown,Sheet1 - Row 2,"To send a message with a direct link to remove the seating layout (especially useful for those less confident with My Classroom, who have accidentally made extra redundant layouts).",01. January 2026 - User feedback - Part 1.txt,January,2026,Both,Classroom Management,Seating plans and My Classroom,Accessing Vital Pupil Context|Managing Classroom Seating Plans|Parent and guardian messages and notes|Designing and Managing Seating Plans|Accessing Vital Pupil Context and SEND Passports|Class and subject communication (students & guardians)
PFT-9670,210015,Data & Reporting,Adding custom notes to seating plan,Unknown,Sheet1 - Row 4,,01. January 2026 - User feedback - Part 1.txt,January,2026,Both,Classroom Management,Seating plans and My Classroom,Managing Classroom Seating Plans|Designing and Managing Seating Plans
PFT-9659,209982,Examinations,Seating Plan,Unknown,Sheet1 - Row 15,"To whom it may concern

 I would like to recommend some changes to the current set up of the seating plans or 'My Classroom' on Arbor. Current the functionality, it terms of the data that can be added or removed, is too fixed.

 I would like full autonomy of can be visable on a seating plan ie, EHCPs, SEND, Data, current working levels, FFT50 data, and be able to remove behavior circles.

 Currently seating plans are useful for one thing, showing where students sit, rather than being an informative teacher tool that can help with teaching and planning.

 Kind regards

 Kitt Flood

 Millbay Academy",01. January 2026 - User feedback - Part 1.txt,January,2026,Both,Behaviour Management,Uncategorised,Accessing Vital Pupil Context|Managing Classroom Seating Plans|Designing and Managing Seating Plans|Accessing Vital Pupil Context and SEND Passports|Class and subject communication (students & guardians)
PFT-9651,209965,Behaviour,Remove point totals from Student View in My Classroom,Deputy Headteacher,Sheet1 - Row 23,"The whole reason of having a ""student view"" on My Classroom is so that teachers can display the seating plan on the board. Although it removes the photos and ""EAL/SEN, etc"" codes, it still has the points. This is absolutely not information that we would want other students to see - it is somewhat in breach of data rules.

 If we can't toggle the points off, staff are going to have to manually type up/edit the seating plans when they display them on the large screen for students to know where to sit. This is a huge additional task. Being able to remove the points would remove this task entirely. Please add this feature in.",01. January 2026 - User feedback - Part 1.txt,January,2026,Both,Behaviour Management,Points and rewards,Managing Classroom Seating Plans|Logging Behaviour and Rewards|Designing and Managing Seating Plans|Logging Behaviour and Setting Detentions|Class and subject communication (students & guardians)
PFT-9648,209960,Behaviour,Detention System Improvement,ICT Technician,Sheet1 - Row 26,"Issue:

 When a teacher assigns a detention to a group of pupils and a single pupil is already assigned to a detention session, none of the pupils can then be assigned to that detention session.

 Solution(s):

 Can a flag be shown on the pupil that is causing the session not to be available so teachers can deselect that pupil.

 And/or the session be allowed to be selected and all pupils who can be assigned be assigned, then a notification popup to show the individual(s) who could not be assigned and allow them to separately be assigned to another session.",01. January 2026 - User feedback - Part 1.txt,January,2026,Secondary,Behaviour Management,Detentions,Logging Behaviour and Rewards|Logging Behaviour and Setting Detentions
PFT-9628,209912,Attendance,Notes pull through on the pre-planned absence,Administrator,Sheet1 - Row 46,"Please could the notes be pulled through from pre-planned absence onto the register.

 Instead of just showing as authorised/ ill etc it would be much better if it pulled through the reason e.g. 'wedding 27-30th' or 'vomited - off for 48hrs' etc.",01. January 2026 - User feedback - Part 1.txt,January,2026,Both,Attendance & Registers,Pre-planned absence and notes,Taking Period-by-Period Registers
PFT-9627,209910,Attendance,Locking attendance marks,Attendance Officer,Sheet1 - Row 47,"Could there be an option locking in attendance marks so only Attendance Officer or appropriate admin may change them. When putting in absence marks for any reason, teachers have the ability to change the pre-existing marks in the register.",01. January 2026 - User feedback - Part 1.txt,January,2026,Both,Attendance & Registers,Codes and marks,Taking Period-by-Period Registers
PFT-9620,209767,Attendance,Absence fines,Unknown,Sheet1 - Row 54,"The guidance has changed so fines are for 5 days of unauthorised absences in a ten week period. I think Arbor is still set to the old guidance of 3 days so children are coming up as needing a fine when they are not meeting the threshold.

 Also when you put a comment in the register it goes right back to the top which is really annoying, it would be great if the register stayed where it was.",01. January 2026 - User feedback - Part 1.txt,January,2026,Secondary,Attendance & Registers,Pre-planned absence and notes,Taking Period-by-Period Registers
PFT-9619,209765,Report Cards,Student Custom Cards,Data Manager,Sheet1 - Row 55,"Hi,

 I would like to include individual student's Overall Progress Timeline (available via Student Profile > Progress Over Time) into Student Custom Cards (their tracking reports) for the parents to easily see if the Summative Achievement is going upwards or downwards trend.

 The data is on Arbor. How do I plug it, pls?

 Also, it would make sense to include behaviour and attendance timeline.

 Logically thinking, you should be able to include this via Student Custom Card because the timeline is already there, I just need to link the data flow to the custom report card.",01. January 2026 - User feedback - Part 1.txt,January,2026,Both,Behaviour Management,Report cards and pastoral,Accessing Vital Pupil Context|Logging Behaviour and Rewards|Parent and guardian messages and notes|Taking Period-by-Period Registers|Logging Behaviour and Setting Detentions|Accessing Vital Pupil Context and SEND Passports|Class and subject communication (students & guardians)
PFT-9608,209744,Communications,overview of notes,Administrator / Migration PM,Sheet1 - Row 66,"The communication & notes section only shows communications - letters, emails and meetings. It would be really useful for us to be able to see notes in there too so we have a complete overview of a student - e.g. behavioural, SEN, pastoral - and be able to download it.",01. January 2026 - User feedback - Part 1.txt,January,2026,Both,Behaviour Management,Report cards and pastoral,Logging Behaviour and Rewards|Parent and guardian messages and notes|Logging Behaviour and Setting Detentions|Requesting Immediate Support (On-Call / Emergency Alert)|Class and subject communication (students & guardians)
